Source_File,ID,Task description,Task reference,CAT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE PACK TEMPERATURE-CONTROL SYSTEM,AMM 21-61-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE COCKPIT AND CABIN TEMPERATURE CONTROL WITH CFDS/MCDU,AMM 21-63-00-710-004-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF AVIONICS EQUIPMENT VENTILATION COMPUTER (AEVC),AMM 21-26-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF CABIN PRESSURE CONTROLLER,AMM 21-31-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF AIR CONDITIONING SYSTEM CONTROLLER,AMM 21-61-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VENT AVNCS SYS FAULT,TSM 21-26-00-810-829-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COND HOT AIR FAULT,TSM 21-63-00-810-805A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VENT BLOWER FAULT ALERT,MEL 21-09-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VENT EXTRACT FAULT ALERT,MEL 21-09-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"AUTOMATIC CABIN PRESSURE CONTROL SYSTEM (CPC, OUTFLOW VALVE AUTO CHANNEL)",MEL 21-31-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AVIONICS BLOWER FAN,MEL 21-26-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AVIONICS EXTRACT FAN,MEL 21-26-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AVIONICS SKIN AIR OUTLET VALVE,MEL 21-26-04,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AVIONICS SKIN AIR INLET VALVE,MEL 21-26-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AVIONICS EQUIPMENT VENTILATION COMPUTER,MEL 21-26-10,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PACK FLOW CONTROL VALVE,MEL 21-51-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AIR CONDITIONING PACK,MEL 21-52-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COCKPIT AND CABIN TRIM AIR VALVE,MEL 21-63-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE TAKEOVER AND PRIORITY PUSHBUTTON SWITCHES,AMM 22-10-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE FCU,AMM 22-10-00-710-006-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE RUDDER TRAVEL LIMITING FUNCTION,AMM 22-61-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE YAW DAMPER FUNCTION,AMM 22-63-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE MULTIPURPOSE CONTROL AND DISPLAY UNIT (MCDU),AMM 22-70-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,GROUND SCANNING OF THE AFS,AMM 22-91-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE LAND CAT III CAPABILITY,AMM 22-97-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPLOADING OF THE FAC SOFTWARE,AMM 22-66-00-610-802-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,UPLOADING OF THE FLIGHT GUIDANCE (FMGC) DATA,AMM 22-83-00-610-802-A,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,A/THR 1/ 2,TSM 22-31-00-810-813-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FMGC 1/ 2,TSM 22-11-00-810-801-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ECAM WARNING “AUTO FLT REAC W/S DET FAULT”,TSM 22-66-00-810-885-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AUTOPILOT (AP),MEL 22-10-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLIGHT DIRECTOR (FD),MEL 22-10-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLIGHT AUGMENTATION (FAC 2),MEL 22-60-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLIGHT MANAGEMENT SYSTEM (FMS),MEL 22-70-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,FLIGHT MANAGEMENT AND GUIDANCE COMPUTER (FMGC),MEL 22-83-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE VERY HIGH FREQUENCY (VHF) SYSTEM,AMM 23-12-00-710-803-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE HIGH FREQUENCY (HF) SYSTEM,AMM 23-11-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BITE TEST OF THE RADIO MANAGEMENT PANEL (RMP),AMM 23-13-00-740-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,TEST OF THE PRERECORDED ANNOUNCEMENT OPERATION OF THE PRERECORDED ANNOUNCEMENT AND BOARDING MUSIC (PRAM) REPRODUCER,AMM 23-32-00-700-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE MECHANIC CALL,AMM 23-42-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE CABIN AND FLIGHT CREW INTERPHONE SYSTEM.,AMM 23-43-00-700-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE SERVICE INTERPHONE,AMM 23-44-00-700-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE AUDIO MANAGEMENT UNIT (AMU),AMM 23-51-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE OXYGEN MASK MICROPHONE,AMM 23-51-00-710-004-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE COCKPIT VOICE RECORDER (CVR) AND THE CVR CHANNEL RECORDING,AMM 23-71-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE CVR RECORDING LOGIC INCLUDING TIME DELAY RELAY,AMM 23-71-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE UNDERWATER LOCATOR BEACON (ULB),AMM 23-71-00-720-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE CABIN SIGNS,AMM 23-73-00-710-017-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE EMERGENCY EVACUATION (EVAC) SIGNALING SYSTEM,AMM 23-73-00-710-004-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF CIDS DIRECTOR,AMM 23-73-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INTERFACE AND POWER-UP TEST OF THE CABIN INTERCOMMUNICATION DATA SYSTEM,AMM 23-73-00-740-005-B,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,DOWNLOADING OF THE COCKPIT VOICE RECORDER (CVR) DATA,AMM 23-71-00,SGH
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF VHF TRANSCEIVER,AMM 23-12-33,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF HF TRANSCEIVER,AMM 23-11-33,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF HF COUPLER,AMM 23-11-36,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ALTERNATE: REMOVAL/INSTALLATION OF VHF ANTENNA,AMM 23-12-11,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF RADIO MANAGEMENT PANEL (RMP),AMM 23-13-13,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF AUDIO CONTROL PANEL (ACP),AMM 23-51-12,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF INTEGRATED PRAM (IPRAM) FLASHCARD,AMM 23-32-36,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF COCKPIT VOICE RECORDER (CVR),AMM 23-71-35,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION COCKPIT DOOR SURVEILLANCE MONITOR SYSTEM,AMM 23-72-22,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION ANTI HIJACK CAMERA SYSTEM,AMM 23-72-51,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF DECODER/ENCODER UNIT A / B,AMM 23-73-46/47,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF PASSENGER INTERFACE AND SUPPLY ADAPTER (PISA),AMM 23-73-41,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ANTI HIJACK CAMERA MONITORING,TSM 23-72-00 PB201,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,HF COMMUNICATIONS SYSTEM,MEL 23-10-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VHF COMMUNICATIONS SYSTEM,MEL 23-10-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,HEADSET/BOOMSET,MEL 23-51-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SIDESTICK PTT SW,MEL 23-51-06,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,AUDIO CONTROL PANEL (ACP),MEL 23-52-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COCKPIT VOICE RECORDER (CVR),MEL 23-71-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,COCKPIT DOOR SURVEILLANCE SYSTEM (CDSS),MEL 23-72-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CABIN LOUDSPEAKER,MEL 23-73-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,HANDSET,MEL 23-73-06,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CHECK OF THE AC MAIN GENERATION MAINTENANCE CONDITION,AMM 24-20-00-040-001-A,I/C
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE IDG DISCONNECT AND RECONNECT (RESET) FUNCTION,AMM 24-21-00-,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE STATIC INVERTER,AMM 24-28-00-710-001-A/A01,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE DC GENERATION SWITCHING,AMM 24-32-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE BATTERY CHARGE LIMITER (BCL),AMM 24-38-00-710-001-A/A01,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF THE GAPCU VIA THE CFDS,AMM 24-41-00-740-002-B,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE INTEGRATED DRIVE GENERATOR - IDG 1(2),AMM 24-21-51,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE GCU-1(2),AMM 24-22-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE STATIC INVERTER,AMM 24-28-51,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE TR,AMM 24-32-51,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE GROUND AUXILIARY POWER CONTROL UNIT (GAPCU),AMM 24-41-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU GEN,TSM 24,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,NO EXT PWR SPLY OF A/C ELECTRICAL CIRCUITS FROM THE EXTERNAL POWER,TSM 24-41-00-810-833-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"AC MAIN GENERATION (IDG, GCU, LINE CONTACTOR)",MEL 24-22-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"AC AUXILIARY GENERATION (APU GENERATOR, GCU OR GAPCU AUXILIARY POWER CONTROL FUNCTION, LINE CONTACTOR)",MEL 24-23-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,BATTERY CHARGER LIMITER,MEL 24-38-02,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"DC MAIN GENERATION (TR 1, 2)",MEL 24-32-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE CAPTAIN AND FIRST OFFICER SEATS,AMM 25-11-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE ESCAPE-SLIDE-RAFT PACK-ASSEMBLY,AMM 25-62-44,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE PORTABLE EMERGENCY LOCATOR TRANSMITTER (ELT),AMM 25-65-32,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PORTABLE EMERGENCY LOCATOR TRANSMITTER (ELT) SYSTEM-BITE TEST,AMM 25-65-00-740-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CAPT SEAT ELECTRICAL CTL INOP,TSM 25-11-00,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,INDICATIONS ON THE DOOR/OXY SD PAGE,MEL 25-07,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PILOT SEAT ELECTRICAL ADJUSTMENT,MEL 25-11-05,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,PASSENGER SEAT,MEL 25-20,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,CABIN ATTENDANT SEAT,MEL 25-20-09,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF LOOP/SQUIB,AMM 26-12-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE ENGINE/APU FIRE AND OVERHEAT DETECTION WITH THE CFDS,AMM 26-12-00-710-002-A  AMM 26-13-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,VISUAL INSPECTION OF THE ENGINE FIRE-DETECTION SYSTEM,AMM 26-12-00-200-003-A,GVI
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF CARGO-COMPARTMENT/ LAVATORY SMOKE-DETECTION BY CFDS,AMM 26-16-00-710-802-A  AMM 26-17-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL CHECK OF AUTOMATIC FIRE EXTINGUISHING CIRCUIT AND TEST APU LP FUEL VALVE OPERATION USING EACH INDIVIDUAL MOTOR IN TURN AND TEST APU EMERGENCY SHUTDOWN CIRCUIT,AMM 26-22-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE ENGINE/APU FIRE-DETECTION UNIT (FDU),AMM 26-12-34,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/ INSTALLATION OF ENG FIRE DETECTORS,AMM 26-12-15/16/17,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF CARGO-COMPARTMENT/LAVATORY SMOKE DETECTOR,AMM 26-16-15,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,REMOVAL/INSTALLATION OF THE CARTRIDGE OF THE ENGINE FIRE-EXTINGUISHER BOTTLE,AMM 26-21-41-000/400-004-A,R/I
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ENG 1 (2) FIRE LOOP A (B) FAULT,TSM 26-12-00,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SMOKE ON MAINTENANCE STATUS,TSM 26-17-00,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LAVATORY SMOKE WARNING WITHOUT FIRE,TSM 26-17-00-810-804-A,T/S
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,ENGINE FIRE DETECTION LOOP A ON ENGINE 1,MEL 26-12,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,APU FIRE DETECTION LOOP,MEL 26-13-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,LAVATORY SMOKE DETECTION SYSTEM,MEL 26-17-01,MEL
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE RESET FUNCTION - RUDDER TRIM ACTUATION,AMM 27-22-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE RUDDER-TRAVEL LIMITATION UNIT,AMM 27-23-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE RUDDER SERVO CONTROLS WITH INDIVIDUAL HYDRAULIC SYSTEM,AMM 27-24-00-710-002-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE ELEVATOR AND HYDRAULIC ACTUATION,AMM 27-34-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,SYSTEM TEST OF THE THS ACTUATOR ELECTRICAL CONTROL,AMM 27-41-00-730-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE SPOILER HYDRAULIC ACTUATION,AMM 27-64-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,"OPERATIONAL TEST OF LOGICS ACTIVATING ELAC 1 & 2, & SEC 1 STBY PWR SPLY & ABILITY OF SEC 1 & 2 TO ACHIEVE PITCH CTL & ABILITY OF SIDESTICK PRIORITY FUNCTION",AMM 27-96-00-710-018-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,RESET OF THE WING TIP BRAKE (WTB) OF THE FLAP SYSTEM ON THE GROUND,AMM 27-50-00-869-006-A,M/P
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,OPERATIONAL TEST OF THE WING TIP BRAKE AND THE PRESSURE OFF BRAKE,AMM 27-51-00-710-001-A,FOT
11-2025 CAAV-FSSD Form 586 [2] 2021 AMT Log book CAT B2 VJC only.doc,,RESET OF THE WING TIP BRAKE (WTB) OF THE SLAT SYSTEM ON THE GROUND,AMM 27-80-00-869-004-A,M/P
